ID,Type,CISD1,HSBP1,PGD,GSS,GCLM,PEBP1,CS
GSM1539458_con,Normal,8.420513,8.703715,10.53111,7.341072,7.271305,8.403524,8.699518
GSM1539459_con,Normal,8.153322,8.429146,10.633088,7.44228,7.24075,8.479869,8.816427
GSM1539460_con,Normal,8.174966,8.648621,10.947854,7.192311,7.070508,7.668319,8.68389
GSM1539461_con,Normal,8.498025,8.788669,10.419025,7.331573,7.351802,7.844626,8.513204
GSM1539462_con,Normal,8.132726,8.610824,10.751882,7.145759,7.32103,7.936029,8.612014
GSM1539463_con,Normal,8.272372,8.747106,10.94157,7.249965,7.276585,8.086244,8.631593
GSM1539464_con,Normal,7.925865,8.526902,10.854812,7.584929,7.194323,8.28318,8.808873
GSM1539465_con,Normal,8.16081,8.859338,10.450196,7.309328,7.378497,8.219355,8.466661
GSM1539466_con,Normal,8.156832,8.671903,10.242228,7.365181,7.465725,8.645494,8.499564
GSM1539467_con,Normal,8.488151,8.974116,10.19209,7.27824,7.221894,8.364375,8.62643
GSM1539468_con,Normal,8.555728,9.104748,10.789703,7.195087,7.492629,7.80746,8.39033
GSM1539469_con,Normal,8.39699,8.696046,10.278244,7.223831,7.297057,8.447061,8.588868
GSM1539470_con,Normal,7.888056,8.595163,11.368436,7.068063,7.421604,8.02863,8.615542
GSM1539471_con,Normal,8.628396,8.986124,10.15045,7.320451,7.159132,8.285461,8.466661
GSM1539472_con,Normal,8.520888,8.953707,10.462141,7.312163,7.321398,8.173253,8.542291
GSM1539473_con,Normal,7.715271,8.624589,10.771085,7.716871,7.14479,8.452511,8.903574
GSM1539474_con,Normal,8.342006,8.623263,10.508601,7.282385,7.23963,8.007346,8.708525
GSM1539475_con,Normal,7.823511,8.436904,10.664508,7.495113,7.109602,8.436953,8.767276
GSM1539476_con,Normal,7.98056,8.433305,10.857621,7.390744,7.342603,8.227356,8.785713
GSM1539477_con,Normal,8.409214,8.695339,9.850626,7.113064,7.291587,8.318798,8.425006
GSM1539478_con,Normal,8.172723,8.698818,10.920878,7.538507,7.084386,8.017567,9.03796
GSM1539479_con,Normal,8.073535,8.489266,10.797948,7.403687,7.280301,8.259243,8.716318
GSM1539480_con,Normal,8.493927,9.123856,9.7525,7.196923,7.172384,8.797411,8.592217
GSM1539481_con,Normal,8.289695,8.348669,10.397686,7.312313,7.344552,8.565576,8.704992
GSM1539482_con,Normal,8.649003,8.96002,10.498635,7.179926,7.318554,8.284719,8.490031
GSM1539483_con,Normal,7.678212,8.864867,10.757568,7.490409,7.388605,7.712173,8.746281
GSM1539484_con,Normal,7.940793,8.721139,11.073993,7.559811,7.231491,7.920147,8.913341
GSM1539485_con,Normal,8.343081,8.66481,10.852207,7.427054,7.378497,8.432556,8.74439
GSM1539486_con,Normal,8.525748,8.558588,10.498635,7.4342,7.491911,8.463225,8.757131
GSM1539487_con,Normal,8.275853,8.922346,10.565203,7.454165,7.25631,7.97893,8.510882
GSM1539488_con,Normal,7.933633,8.733079,10.869109,7.415586,7.229474,7.816517,8.713689
GSM1539489_con,Normal,8.348936,8.634982,10.513512,7.58047,7.265612,7.710679,8.629041
GSM1539490_con,Normal,8.204004,8.612271,10.669528,7.411012,7.22225,8.471644,8.878178
GSM1539491_con,Normal,7.737521,8.30963,10.565203,7.279361,7.038331,8.478972,8.874374
GSM1539492_con,Normal,8.145119,8.641128,10.722282,7.399122,7.318353,8.120265,8.785713
GSM1539493_con,Normal,8.359006,8.951015,11.582095,7.189012,7.494351,7.661138,8.48776
GSM1539494_con,Normal,7.847682,8.942275,10.795144,7.418764,7.273608,8.084931,8.68389
GSM1539495_con,Normal,8.155564,9.279288,10.435841,7.263638,7.236981,7.814335,8.575066
GSM1539496_con,Normal,8.108358,8.483556,10.612281,7.639977,7.091541,7.972109,8.894722
GSM1539497_con,Normal,8.199867,8.952792,10.866187,7.450652,7.42419,8.145149,8.80615
GSM1539498_con,Normal,8.542787,8.92146,11.17488,7.412968,7.388605,8.529581,8.479141
GSM1539499_con,Normal,8.152914,8.913016,10.383693,7.383429,7.425046,8.097571,8.602942
GSM1539500_con,Normal,8.230875,8.558588,10.536402,7.414141,7.510071,7.846896,8.604607
GSM1539501_con,Normal,8.257527,8.917203,10.938304,7.268674,7.369776,7.594827,8.618811
GSM1539502_con,Normal,8.64508,8.851298,9.673074,7.417881,7.329345,8.531605,8.453392
GSM1539503_con,Normal,8.063464,8.760514,10.687445,7.602214,7.297588,7.972755,8.743502
GSM1539504_con,Normal,8.072265,8.545572,10.643845,7.463324,7.368,8.222848,8.807878
GSM1539505_con,Normal,8.341449,8.908921,10.698124,7.356236,7.44644,8.234805,8.585605
GSM1539506_con,Normal,7.869968,8.752901,10.889075,7.428556,7.393555,8.18059,8.817404
GSM1539507_con,Normal,8.342006,8.861714,10.664508,7.228309,7.469353,8.111888,8.53844
GSM1539508_con,Normal,8.579142,9.172821,9.972643,7.418598,7.22441,8.364375,8.543772
GSM1539509_con,Normal,7.970369,8.904642,10.554697,7.551364,7.176344,8.382094,8.864699
GSM1539510_con,Normal,7.938268,8.605292,10.926586,7.305905,7.382416,7.77699,8.793309
GSM1539552_con,Normal,7.964788,8.509517,10.479203,7.474066,7.146238,8.344598,8.780195
GSM1539553_con,Normal,7.914849,8.855333,11.027909,7.51601,7.207554,7.712173,8.650521
GSM1539555_con,Normal,8.333693,8.961681,10.234201,7.221437,7.233025,8.299057,8.332853
GSM1539569_con,Normal,8.660946,9.024697,10.211766,7.419581,7.331219,7.897077,8.791345
GSM1539573_con,Normal,8.349465,8.512851,11.171321,7.450473,7.227699,8.073509,8.844574
GSM1539578_con,Normal,8.544636,8.760514,10.965315,7.159053,7.4257,7.792343,8.553786
GSM1539580_con,Normal,8.245515,8.274953,10.612281,7.175625,7.466593,8.112599,8.563184
GSM1539585_con,Normal,8.492209,8.978712,10.597505,7.421392,7.358628,8.182032,8.556195
GSM1539588_con,Normal,7.851735,8.637633,10.602307,7.06186,7.258202,8.083629,8.714526
GSM1539595_con,Normal,8.583405,9.266912,10.070786,7.358503,7.304287,8.244785,8.316221
GSM1539596_con,Normal,7.863494,8.581134,10.288842,7.074529,7.313354,8.184302,8.468912
GSM1539597_con,Normal,8.886742,8.679696,10.099382,7.275206,7.45043,8.415737,8.470389
GSM1539600_con,Normal,8.240241,8.658942,10.452591,7.411337,7.304478,7.9165,8.678696
GSM1539601_con,Normal,8.061454,9.116811,10.825477,7.513684,7.26203,7.80746,8.553786
GSM1539603_con,Normal,7.870313,8.892079,10.757568,7.389,7.2878,7.772066,8.509328
GSM1539605_con,Normal,8.243577,8.48424,10.757568,7.70584,7.173293,8.035081,8.948908
GSM1539607_con,Normal,8.013518,8.454207,10.474261,7.393557,7.497194,8.201523,8.756268
GSM1539615_con,Normal,7.453069,8.920618,11.264297,7.467434,7.168002,7.617645,8.728955
GSM1539617_con,Normal,8.348391,8.554113,10.565203,7.423554,7.535701,8.163259,8.804335
GSM1539621_con,Normal,7.94667,8.620527,10.872215,7.357616,7.207395,7.991454,8.602942
GSM1539649_con,Normal,8.037061,8.760514,10.516129,7.340313,7.349629,8.014943,8.731636
GSM1539651_con,Normal,8.081608,9.014676,10.746687,7.301399,7.395278,8.338129,8.633318
GSM1539652_con,Normal,8.089731,8.995036,11.139056,7.518168,7.357665,8.131231,8.828637
GSM1539653_con,Normal,7.996886,8.748554,11.11777,7.342887,7.219765,8.049425,8.787551
GSM1539655_con,Normal,8.049484,9.072038,10.98365,7.40059,7.3284,7.814877,8.702286
GSM1539664_con,Normal,7.93578,8.656815,10.94502,7.373337,7.210893,8.084931,8.781138
GSM1539668_con,Normal,8.061454,8.520566,10.609807,7.332874,7.132934,8.377003,8.775628
GSM1539670_con,Normal,8.222441,8.939606,10.390722,7.254478,7.191462,7.957145,8.575066
GSM1539671_con,Normal,8.45001,8.647262,10.709074,7.21381,7.404298,8.218648,8.585605
GSM1539677_con,Normal,8.440826,8.681792,10.224026,7.421875,7.375451,8.004795,8.501052
GSM1539685_con,Normal,7.853685,8.420112,10.877988,7.548768,7.110591,7.796228,8.948908
GSM1539686_con,Normal,8.22898,8.900326,10.72775,7.513285,7.307075,7.774278,8.599626
GSM1539694_con,Normal,8.2346,8.690249,10.435841,7.391911,7.130339,8.394052,8.771958
GSM1539696_con,Normal,7.945866,8.794128,10.915111,7.086408,7.386369,7.736499,8.48776
GSM1539699_con,Normal,7.920185,8.627377,11.125087,7.413481,7.332008,7.918286,8.764543
GSM1539702_con,Normal,8.072704,8.856184,10.738885,7.3612,7.256148,8.090268,8.800732
GSM1539704_con,Normal,8.74657,9.068159,9.893676,7.177708,7.294312,8.894122,8.479141
GSM1539706_con,Normal,8.201748,8.742734,10.565203,7.533543,7.327425,7.926264,8.597189
GSM1539707_con,Normal,7.731371,8.751408,10.617378,7.296663,7.200288,7.950909,8.759984
GSM1539709_con,Normal,7.80029,8.863351,11.248896,7.383429,7.256656,7.625119,8.784737
GSM1539710_con,Normal,8.194289,8.31694,10.250475,7.355926,7.451547,8.506501,8.706786
GSM1539711_con,Normal,8.599734,9.067184,10.063777,7.26139,7.264089,8.530651,8.598832
GSM1539712_con,Normal,8.375224,8.812115,10.854812,7.214934,7.437458,7.831924,8.365943
GSM1539714_con,Normal,7.903744,8.604036,10.646457,7.423866,7.327631,8.011703,8.777462
GSM1539715_con,Normal,7.973297,8.806611,10.622208,7.334745,7.279768,7.73024,8.686581
GSM1539716_con,Normal,8.603576,8.916407,10.020206,7.310319,7.151677,8.051336,8.64543
GSM1539731_con,Normal,7.98321,8.324231,10.996407,7.581526,7.177092,8.025344,9.033437
GSM1539738_con,Normal,8.025458,8.411752,10.635608,7.378209,7.315753,8.481787,8.738156
GSM1539740_con,Normal,8.725796,8.828782,10.836189,7.388347,7.311892,8.085574,8.429012
GSM1539745_con,Normal,8.223853,8.849576,11.064106,7.221437,7.340416,7.852115,8.661833
GSM1539754_con,Normal,8.071861,8.722548,10.765703,7.352728,7.296312,8.031791,8.786629
GSM1539757_con,Normal,8.388953,8.887114,10.736036,7.479306,7.498849,8.19776,8.318674
GSM1539758_con,Normal,8.218793,8.442925,10.518593,7.256457,7.304826,8.173984,8.81075
GSM1539759_con,Normal,8.077627,8.56251,11.16786,7.201872,7.371594,7.908073,8.567725
GSM1539762_con,Normal,8.401351,8.53006,11.087375,7.394846,7.333167,8.457928,8.859977
GSM1539764_con,Normal,8.658836,8.673343,10.349859,7.311742,7.317631,8.3325,8.549977
GSM1539770_con,Normal,8.174966,8.807334,10.709074,7.41331,7.403229,8.083018,8.704992
GSM1539775_con,Normal,8.122663,8.800423,10.232142,7.340765,7.303749,8.327682,8.591382
GSM1539779_con,Normal,8.78193,8.965233,10.327596,7.311886,7.342389,7.946631,8.433228
GSM1539781_con,Normal,8.140787,8.711567,10.894754,7.268804,7.332781,8.033729,8.601336
GSM1539795_con,Normal,7.881781,8.856184,11.240969,7.235149,7.400696,7.987011,8.762637
GSM1539796_con,Normal,8.090516,8.816018,10.425962,7.661748,7.412625,7.753527,8.648808
GSM1539679_con,Normal,7.98022,9.179245,10.956543,7.27397,7.430015,8.119558,8.560887
GSM1539186_treat,Tumor,8.199908,9.004259,10.392166,7.471376,7.364955,8.003205,8.698937
GSM1539187_treat,Tumor,7.859214,8.386088,11.088831,7.377136,7.20552,8.064944,8.742556
GSM1539188_treat,Tumor,7.98961,8.545412,10.927157,7.25729,7.301101,8.321768,8.700138
GSM1539189_treat,Tumor,7.931451,8.403313,11.30222,7.237961,7.464541,8.351397,8.57699
GSM1539190_treat,Tumor,7.628862,8.738001,11.371294,7.387,7.373785,7.984606,8.917493
GSM1539191_treat,Tumor,8.508589,8.919022,10.855567,7.386044,7.288594,7.851878,8.551425
GSM1539192_treat,Tumor,7.754732,8.815922,10.782587,7.424222,7.345336,7.744886,8.684388
GSM1539193_treat,Tumor,7.945443,8.705481,11.237347,7.469012,7.307066,7.934105,8.764282
GSM1539194_treat,Tumor,8.281559,8.460935,10.663601,7.359007,7.233103,8.282433,8.807611
GSM1539195_treat,Tumor,8.013212,8.680196,10.46388,7.333684,7.305609,8.192089,8.780722
GSM1539196_treat,Tumor,8.427978,8.812613,10.560793,7.237217,7.401084,7.673271,8.933433
GSM1539197_treat,Tumor,7.863697,8.575774,10.57565,7.291185,7.338935,8.410879,8.651838
GSM1539198_treat,Tumor,8.038153,8.657821,10.782587,7.431048,7.287201,8.388299,8.675737
GSM1539199_treat,Tumor,8.42919,8.850119,10.00465,6.976528,7.450784,8.092901,8.566241
GSM1539200_treat,Tumor,7.708884,8.394944,10.993887,7.341412,7.21395,8.652846,8.710006
GSM1539201_treat,Tumor,7.976007,8.770781,11.217468,7.550183,7.236617,7.853371,8.846869
GSM1539202_treat,Tumor,7.908136,8.516544,11.136455,7.455839,7.290819,8.044827,8.663892
GSM1539203_treat,Tumor,7.760349,8.912,11.666733,7.035044,7.416962,7.811119,8.357022
GSM1539204_treat,Tumor,7.912181,8.230203,10.922535,7.233138,7.293496,8.327319,8.672894
GSM1539205_treat,Tumor,7.988828,8.435834,10.498606,7.396091,7.344631,7.971815,8.745399
GSM1539206_treat,Tumor,8.029761,8.974383,10.706952,7.339193,7.330161,7.756867,8.638545
GSM1539207_treat,Tumor,8.115822,8.693763,11.032086,7.070149,7.438233,7.962975,8.452987
GSM1539208_treat,Tumor,8.246012,8.729631,10.667468,7.229821,7.330678,8.115835,8.468227
GSM1539209_treat,Tumor,7.909622,8.529057,10.679222,7.350069,7.417721,8.314224,8.712859
GSM1539210_treat,Tumor,8.188022,8.698159,10.967495,7.214938,7.404904,8.188092,8.690409
GSM1539211_treat,Tumor,7.639892,8.750337,10.874692,7.59378,7.2964,7.872686,8.772792
GSM1539212_treat,Tumor,8.33171,8.914675,10.643384,7.345952,7.327796,7.861878,8.658345
GSM1539213_treat,Tumor,7.988447,8.720492,10.480775,7.282602,7.287201,7.819664,8.726794
GSM1539214_treat,Tumor,8.016042,8.573237,10.723907,7.245206,7.437855,8.251566,8.515647
GSM1539215_treat,Tumor,8.192799,8.722818,9.443113,7.208388,7.190674,8.661516,8.545879
GSM1539216_treat,Tumor,8.63585,8.964741,10.090011,7.22647,7.175235,8.228772,8.483733
GSM1539217_treat,Tumor,8.033483,8.89073,10.957142,7.65638,7.398825,7.599639,8.952423
GSM1539218_treat,Tumor,7.901948,8.769943,10.293809,7.406986,7.341686,8.347086,8.69149
GSM1539219_treat,Tumor,8.559214,9.018982,10.420774,7.174556,7.371621,7.803108,8.332243
GSM1539220_treat,Tumor,7.885868,8.784318,10.999319,7.649729,7.367269,7.702206,8.782527
GSM1539221_treat,Tumor,8.068421,9.018006,10.683198,7.390619,7.476647,7.551413,8.707141
GSM1539222_treat,Tumor,8.20226,8.79886,10.937082,7.487759,7.253406,7.830589,8.730353
GSM1539223_treat,Tumor,8.674833,9.025062,9.942028,7.251456,7.658258,7.683906,8.332706
GSM1539224_treat,Tumor,8.072644,8.825893,10.967495,7.711187,7.386583,7.443818,8.730353
GSM1539225_treat,Tumor,8.148412,8.850119,10.769603,7.466909,7.095721,8.049199,8.800171
GSM1539226_treat,Tumor,8.795816,9.294434,10.20444,7.4293,7.462659,7.80528,8.416349
GSM1539227_treat,Tumor,8.160831,8.680921,10.778274,7.261141,7.304296,8.131449,8.836507
GSM1539228_treat,Tumor,7.987665,8.830911,10.957142,7.285787,7.326103,7.421568,8.698352
GSM1539229_treat,Tumor,8.109373,8.708411,11.142451,7.422957,7.345166,7.966852,8.708835
GSM1539230_treat,Tumor,8.107173,8.981931,10.753163,7.329508,7.402253,7.781917,8.610368
GSM1539231_treat,Tumor,7.991142,8.606928,10.663601,7.611704,7.487509,7.666638,8.81192
GSM1539232_treat,Tumor,7.773621,8.673829,10.999319,7.521188,7.355618,7.746722,8.803916
GSM1539233_treat,Tumor,8.092752,8.596109,10.773937,7.228333,7.327118,8.168154,8.545382
